44,CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
45,CKG,CTCP Tập đoàn Tư vấn Đầu tư và Xây dựng Kiên Giang,Phát triển bất động sản,HOSE,,,,
46,CLC,CTCP Cát Lợi,Sản xuất đồ uống và thuốc lá,HOSE,,,,
47,CLG,CTCP Đầu tư và Phát triển Nhà đất COTEC,"Xây dựng nhà cửa, cao ốc",HOSE,,,,
48,CLL,CTCP Cảng Cát Lái,Hỗ trợ vận tải,HOSE,,,,
49,CLW,CTCP Cấp nước Chợ Lớn,"Nước, chất thải và các hệ thống khác",HOSE,,,,
50,CMG,CTCP Tập đoàn Công nghệ CMC,Các dịch vụ thông tin khác,HOSE,,,,
51,CMV,CTCP Thương nghiệp Cà Mau,Của hàng hàng hóa tổng hợp,HOSE,,,,
52,CMX,CTCP Camimex Group,Sản xuất thực phẩm,HOSE,,,,
53,CNG,CTCP CNG Việt Nam,Phân phối khí đốt thiên nhiên,HOSE,,,,
54,COM,CTCP Vật tư Xăng Dầu,Trạm xăng,HOSE,,,,
55,CRC,CTCP Create Capital Việt Nam,Sản xuất sản phẩm khoáng chất phi kim,HOSE,,,,
56,CRE,CTCP Bất động sản Thế Kỷ,Bất động sản,HOSE,,,,
57,CSM,CTCP Công nghiệp Cao su Miền Nam,Sản xuất các sản phẩm nhựa và cao su,HOSE,,,,
58,CSV,CTCP Hóa chất Cơ bản Miền Nam,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
59,CTD,CTCP Xây dựng Coteccons,"Xây dựng nhà cửa, cao ốc",HOSE,,,,
60,CTF,CTCP City Auto,Bán lẻ xe hơi và phụ tùng,HOSE,,,,
61,CTG,Ngân hàng TMCP Công Thương Việt Nam,Trung gian tín dụng và các hoạt động liên quan,HOSE,,,,
62,CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
63,CTS,CTCP Chứng khoán Ngân hàng Công thương Việt Nam,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
64,CVT,CTCP CMC,Sản xuất sản phẩm khoáng chất phi kim,HOSE,,,,
65,D2D,CTCP Phát triển Đô thị Công nghiệp số 2,Phát triển bất động sản,HOSE,,,,
66,DAG,CTCP Tập đoàn Nhựa Đông Á,Sản xuất các sản phẩm nhựa và cao su,HOSE,,,,
67,DAH,CTCP Tập đoàn Khách sạn Đông Á,Khách sạn và phòng ở,HOSE,,,,
68,DAT,CTCP Đầu tư du lịch và Phát triển Thủy sản,Sản xuất thực phẩm,HOSE,,,,
69,DBC,CTCP Tập đoàn Dabaco Việt Nam,Sản xuất thực phẩm,HOSE,,,,
70,DBD,CTCP Dược - Trang thiết bị Y tế Bình Định,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
71,DCL,CTCP Dược phẩm Cửu Long,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
72,DCM,CTCP Phân bón Dầu khí Cà Mau,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
